blink_rate,fixation_duration,fixation_frequency,saccadic_velocity,gaze_variability,dispersion,pupil_diameter,tear_breakup_time
43.985993924486046,0,0,0,"(0.0, 0.0)",0.0,3.0,15.0
61.34006219785897,0,0,0,"(nan, nan)",,3.0,15.0
39.15738128490012,6.849704742431641,1,0.0,"(0.01909858273695256, 0.06024421364842421)",0.052467904997245775,3.0,15.0
36.97697748538485,0,0,0,"(nan, nan)",,3.0,15.0
25.581902126227128,12.669747591018677,1,0.0,"(0.027260953237885768, 0.07179634959285114)",0.06887705797268162,3.0,15.0
63.62268640753676,0,0,0,"(nan, nan)",,3.0,15.0
34.37600817849383,0,0,0,"(nan, nan)",,3.0,15.0
24.277585638996033,0,0,0,"(nan, nan)",,3.0,15.0
108.86779256251032,10.881306886672974,1,0.0919007257505772,"(0.03410857201730683, 0.08411670792077187)",0.06590732436902527,3.0,15.0
46.79664503308261,14.259937286376953,1,0.0,"(0.02992758853364339, 0.06372979892585713)",0.06076163986930115,3.0,15.0
36.21547943633012,19.07548475265503,1,0.0,"(0.020259275303047858, 0.0667489259980355)",0.05236295102460165,3.0,15.0
31.989860333525165,11.968478202819824,1,0.0,"(0.020790680790573415, 0.06845963877028158)",0.0565685585241776,3.0,15.0
18.316986230332873,8.696071863174438,1,0.11499444987739064,"(0.01350723590213828, 0.08126096653577677)",0.06035795092676564,3.0,15.0
42.37782335063216,8.694777965545654,1,0.5750578128404475,"(0.023504131100166636, 0.07187236609870028)",0.05816139866287615,3.0,15.0
26.70669054713866,8.206730365753174,1,0.0,"(0.01580327487446576, 0.14149105844024243)",0.09268512729361164,3.0,15.0
20.283282858507274,10.975125074386597,1,0.0,"(0.010564006963126642, 0.10267102677533163)",0.06199189257371594,3.0,15.0
22.77091968462388,0,0,0,"(nan, nan)",,3.0,15.0
20.552606665903934,57.01681590080261,2,0.35077370919477224,"(0.05506139310501787, 0.0906878634968066)",0.08483406165740057,3.0,15.0
51.57494077230041,0,0,0,"(nan, nan)",,3.0,15.0
51.594343454389595,0,0,0,"(nan, nan)",,3.0,15.0
42.10176527438309,17.454405307769775,2,0.2291685067161476,"(0.028386348348294423, 0.08970406515671395)",0.0711113645024883,3.0,15.0
55.640330763731654,37.396809816360474,18,0.6685062207916709,"(0.0274760258184408, 0.12435335534748065)",0.09831010583517173,3.0,15.0
49.93164198466867,53.61448073387146,28,0.8766288390126532,"(0.05889340555550649, 0.2492640872783602)",0.2109301796941988,3.0,15.0
88.21476308277379,14.86860179901123,34,2.017674587397654,"(0.04516001364438611, 0.16492489532895535)",0.14966949168600246,3.0,15.0
31.743240816233858,34.58820295333862,10,0.4625854665414354,"(0.03793217096804329, 0.2055592727745288)",0.1846878652525334,3.0,15.0
11.111074857869324,17.714521646499634,7,0.733861193625219,"(0.05483080494738172, 0.10946662901144291)",0.08959530994076452,3.0,15.0
38.474728149744166,17.587125301361084,3,0.2274391028356656,"(0.03452547607964696, 0.11104975695578137)",0.09216544597193281,3.0,15.0
19.114153488148233,39.54575991630554,19,1.2137837305841883,"(0.09243921751707068, 0.15915105638716281)",0.15772013398189463,3.0,15.0
46.31506793632285,63.809921979904175,2,0.047014632002602946,"(0.06186953628359006, 0.11906908232981367)",0.11188124845056528,3.0,15.0
60.272672363723686,6.102599382400513,12,2.2941043844980324,"(0.06942370772069292, 0.14912702763294872)",0.12297364055170064,3.0,15.0
33.603420809255326,11.242369174957275,10,0.8894922275168928,"(0.03473093789254816, 0.06709401618564216)",0.061361256958637284,3.0,15.0
32.516187110710874,15.751834630966187,3,0.12696933702365334,"(0.040042723864351315, 0.05651220013393576)",0.056294278682813725,3.0,15.0
31.442778983367607,6.4448792934417725,3,0.31032388799510563,"(0.027684575534289362, 0.04974610407085621)",0.04434601672652402,3.0,15.0
19.153309618797053,8.285390853881836,2,0.24138873292416477,"(0.03079398429988313, 0.05959012511964286)",0.057798145664253286,3.0,15.0
22.307644857375458,21.87625217437744,3,0.5485400289019798,"(0.029180968049524407, 0.12375025775950804)",0.108288717123194,3.0,15.0
22.26989772111143,7.314437389373779,1,0.0,"(0.01451996676096231, 0.047718187674232124)",0.0441711199776606,3.0,15.0
26.079895654816085,8.019641637802124,1,0.0,"(0.017304482290861067, 0.06660572604281932)",0.056711438198559914,3.0,15.0
43.450497999307345,10.061505556106567,2,0.39755481698981965,"(0.023130780040207317, 0.060167307679829446)",0.04990820937275823,3.0,15.0
23.376398849520648,14.554281949996948,1,0.0,"(0.013948886185809256, 0.05490597899523988)",0.0475824994754533,3.0,15.0
